hotel,price,puntuacion,distancia_centro,descripcion
Nueva Cordoba 1 Dormitorio (Plaza España),3177907,5.0,15.0,Departamento de 1 dormitorio
Apart Hotel Bari,2488918,9.0,2.0,Departamento de 2 dormitorios
La Posada De Vito,1185199,9.0,317.0,Departamento de 2 dormitorios
Cabañas Kehuen,933344,8.7,93.0,Casa de 1 dormitorio
Cabaña economica Bialet masse a 9 km de Cosquín,1111124,2.5,33.0,Departamento de 1 dormitorio
Terra Nostra,2938307,9.4,525.0,Casa de 2 habitaciones
Casa en Villa Carlos Paz solo apto para familias,1851874,,291.0,Departamento de 2 dormitorios
Cabaña Las Piedras A,2222249,10.0,384.0,Casa de 2 habitaciones
El oasis loft,2313333,,155.0,Departamento de 1 dormitorio
EL OASIS Habitaciones,2167378,8.4,155.0,Habitación Doble Pequeña
Villa sol,2413609,8.5,347.0,Casa de 2 dormitorios
Argent hous,2711143,4.0,51.0,Casa de 3 habitaciones
2 Dormitorios frente al Palacio Ferreyra,6172913,3.5,11.0,Departamento de 2 dormitorios
EL oasis Depto,2919102,10.0,155.0,Departamento de 2 dormitorios
Casa De Campo La Melisa Frente Al Río,4456843,,387.0,Casa de 2 habitaciones
Casa barrio Rosedal,5876613,,45.0,Villa de 3 dormitorios
Bucanaan hostel boutique,746237,8.5,13.0,Cama en habitación compartida de 6 camas
CASA ARTIGAS Hostel,438652,8.3,11.0,Litera en habitación mixta compartida
Aldea Hostel,710772,9.1,8.0,Cama en un dormitorio compartido de 6 camas con baño compartido
Why Not Guemes,592600,8.4,12.0,Litera en habitación mixta compartida
Rupestre Hostel,592600,7.3,1.0,Litera en habitación mixta compartida
El hospedaje familiar Hogar Dulce cercano a la Universidad Católica de Córdoba ofrece precios accesibles por noche ideal para estadias temporales,740750,6.9,16.0,Cama individual en habitación compartida masculina
